City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Le Port,RE,74.25,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
274,Caravelas,BR,75.88,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
285,Altos,BR,82.71,few clouds,-5.0381,-42.46,Pousada Das Aguias
288,Sao Joao Da Barra,BR,74.62,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
289,Umm Lajj,SA,77.9,clear sky,25.0213,37.2685,Moon light Furnished Units
292,Soyo,AO,75.43,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
296,Amuntai,ID,83.21,overcast clouds,-2.4177,115.2494,Hotel Balqis
304,Bolgatanga,GH,80.35,few clouds,10.7856,-0.8514,Mama's Place
305,Lorengau,PG,83.77,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
306,Mutis,CO,76.08,light rain,6.2262,-77.4044,Paraiso Escondido
309,Port-Gentil,GA,78.37,moderate rain,-0.7193,8.7815,Fengshui Residence
315,Bonthe,SL,74.34,heavy intensity rain,7.5264,-12.505,Bonthe Holiday Village
316,Trairi,BR,79.48,scattered clouds,-3.2778,-39.2689,janelas do mar
320,Tiruchchirappalli,IN,75.31,mist,10.8167,78.6833,Breeze Residency
322,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
324,Panji,ID,88.7,overcast clouds,-7.7253,114.0995,Kost putri
326,Papara,BR,79.68,broken clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
327,Dicabisagan,PH,81.59,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
335,Phan Thiet,VN,85.41,scattered clouds,10.9333,108.1,Hotel Saigon-PT
336,Vao,NC,74.21,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
337,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
338,Ilhabela,BR,71.62,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
340,Itarema,BR,79.59,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
341,Fare,PF,72.84,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
342,Calamar,CO,76.05,overcast clouds,10.2511,-74.9146,Hostal Katyalex
344,Batangafo,CF,70.34,scattered clouds,7.3008,18.2833,OCHA Office
346,Chai Badan,TH,80.42,overcast clouds,15.2,101.1333,Ban Phu Nara Resort
348,Dhidhdhoo,MV,81.34,overcast clouds,6.8833,73.1,Dhidhoo beach
349,Terra Santa,BR,83.03,overcast clouds,-2.1042,-56.4869,Hotel Sarah
352,Tahoua,NE,73.27,clear sky,14.8888,5.2692,Bungalows Guesthouse
357,Ambilobe,MG,71.06,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
358,Vaitape,PF,72.45,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
360,Andros Town,BS,73.36,clear sky,24.7,-77.7667,CBH
365,Tagusao,PH,84.74,few clouds,9.1924,117.8141,Caycay future beach resort
366,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
373,Hermosillo,MX,70.38,clear sky,29.0667,-110.9667,ibis Hermosillo
376,Fuerte Olimpo,PY,75.07,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
379,Tecoanapa,MX,79.45,clear sky,16.5167,-98.75,Hotel Manglares
381,Coahuayana,MX,75.61,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
391,Eseka,CM,72.25,moderate rain,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
392,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
397,Vanimo,PG,84.33,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
398,Iquitos,PE,78.84,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
404,Sidney,AU,84.61,clear sky,-33.8679,151.2073,The Grace Sydney
406,Isabela,PH,86.67,overcast clouds,6.7085,121.9711,Isawad Resort
410,Sanming,CN,71.2,overcast clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
412,Dingle,PH,84.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
413,Sydney,AU,84.61,clear sky,-33.8679,151.2073,The Grace Sydney
415,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
421,Ballina,AU,82.4,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
423,Wewak,PG,78.91,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
425,Barra Do Garcas,BR,78.73,broken clouds,-15.89,-52.2567,Pousada Tropical
431,Guanica,PR,78.19,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
