City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Cruzeiro Do Sul,BR,-29.5128,-51.9853,72.48,83,100,2.66,overcast clouds
239,Westport,US,41.1415,-73.3579,46.44,59,0,10.36,clear sky
240,Qandala,SO,11.472,49.8728,75.67,65,0,4.18,clear sky
241,Grindavik,IS,63.8424,-22.4338,44.55,87,75,9.22,broken clouds
242,Vasterhaninge,SE,59.1167,18.1,41.68,95,100,7.45,overcast clouds
243,Abu Dhabi,AE,24.4667,54.3667,80.96,74,0,1.99,clear sky
244,Shaunavon,CA,49.6501,-108.4181,19.18,97,100,5.55,overcast clouds
245,Port-Cartier,CA,50.0334,-66.8654,27.75,95,100,15.14,snow
246,Kahului,US,20.8947,-156.47,82.42,67,20,19.57,few clouds
247,Kavieng,PG,-2.5744,150.7967,85.39,68,100,12.91,light rain
248,Urrao,CO,6.3152,-76.1342,56.19,96,99,0.58,overcast clouds
249,Egvekinot,RU,66.3167,-179.1667,-3.05,86,51,2.44,broken clouds
250,Alofi,NU,-19.0595,-169.9187,80.49,65,72,12.66,broken clouds
251,Kozhva,RU,65.1073,57.0459,11.07,95,100,4.56,overcast clouds
252,Katobu,ID,-4.9408,122.5276,85.87,69,83,3.38,broken clouds
253,Tigil,RU,57.8,158.6667,13.14,91,30,3.51,scattered clouds
254,Chuy,UY,-33.6971,-53.4616,66.56,98,100,8.3,moderate rain
255,East London,ZA,-33.0153,27.9116,60.62,72,3,7.0,clear sky
256,Aqtobe,KZ,50.2797,57.2072,37.49,93,100,22.37,overcast clouds
257,Yellowknife,CA,62.456,-114.3525,23.52,86,75,17.27,light snow
258,Port Hedland,AU,-20.3167,118.5667,84.25,61,0,11.5,clear sky
259,Karratha,AU,-20.7377,116.8463,85.3,42,0,13.76,clear sky
260,Kashi,CN,39.4547,75.9797,38.41,48,40,6.71,scattered clouds
261,Veraval,IN,20.9,70.3667,75.25,51,3,8.08,clear sky
262,Tlacote El Bajo,MX,20.65,-100.5,65.93,40,7,0.78,clear sky
263,Hobyo,SO,5.3505,48.5268,79.45,78,6,12.3,light rain
264,Sumbe,AO,-11.2061,13.8437,72.75,78,10,6.33,clear sky
265,Palmer,US,42.1584,-72.3287,41.63,67,0,11.5,clear sky
266,Rafai,CF,4.95,23.9167,66.99,77,12,2.01,few clouds
267,Yulara,AU,-25.2406,130.9889,74.7,29,0,10.96,clear sky
268,Kulhudhuffushi,MV,6.6221,73.07,81.14,71,98,5.32,overcast clouds
269,Makambako,TZ,-8.8453,34.823,57.54,72,3,5.82,clear sky
270,Le Port,RE,-20.9373,55.2919,74.25,79,20,3.71,few clouds
271,Lake Charles,US,30.2131,-93.2044,48.18,64,0,5.75,clear sky
272,Tiznit,MA,29.5833,-9.5,67.69,26,87,4.05,overcast clouds
273,Greymouth,NZ,-42.4667,171.2,64.22,67,1,6.73,clear sky
274,Caravelas,BR,-17.7125,-39.2481,75.88,87,100,8.84,overcast clouds
275,Pierre,US,44.3683,-100.351,23.92,83,100,9.22,overcast clouds
276,Devonport,AU,-41.1667,146.35,61.02,72,100,13.67,light rain
277,Hastings,GB,50.8552,0.5729,55.78,99,64,7.23,broken clouds
278,Salamiyah,SY,35.0113,37.0532,58.95,56,1,3.69,clear sky
279,Muros,ES,42.7762,-9.0603,53.69,94,93,6.76,overcast clouds
280,San Cristobal,VE,7.7669,-72.225,66.38,98,100,0.51,overcast clouds
281,Maridi,SS,4.9158,29.4742,65.93,84,100,2.24,overcast clouds
282,Jiangyou,CN,31.7667,104.7167,54.68,74,9,2.06,clear sky
283,Sherbakul,RU,54.6316,72.3963,31.08,96,100,17.54,light snow
284,Sirjan,IR,29.452,55.6814,51.08,68,0,2.24,clear sky
285,Altos,BR,-5.0381,-42.46,82.71,62,15,5.01,few clouds
286,Aldan,RU,58.6031,125.3894,14.83,77,100,10.94,overcast clouds
287,Dauriya,RU,49.9333,116.8667,15.85,76,13,3.65,few clouds
288,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.62,91,99,18.01,overcast clouds
289,Umm Lajj,SA,25.0213,37.2685,77.9,55,0,7.16,clear sky
290,Dali,CN,25.7,100.1833,57.49,57,3,1.95,clear sky
291,Codrington,AU,-38.2667,141.9667,54.32,85,100,22.86,overcast clouds
292,Soyo,AO,-6.1349,12.3689,75.43,80,96,6.31,overcast clouds
293,Tupik,RU,54.4253,119.9327,9.14,92,84,1.01,broken clouds
294,Oytal,KZ,42.9057,73.2697,38.68,52,1,6.31,clear sky
295,Uhlove,UA,44.8215,33.6045,49.01,86,43,6.64,scattered clouds
296,Amuntai,ID,-2.4177,115.2494,83.21,77,100,1.61,overcast clouds
297,Saldanha,ZA,-33.0117,17.9442,59.88,85,99,11.81,overcast clouds
298,Goderich,CA,43.7501,-81.7165,35.91,55,100,12.66,overcast clouds
299,Lebu,CL,-37.6167,-73.65,53.6,91,87,7.81,light rain
300,Ust-Maya,RU,60.4167,134.5333,15.12,93,100,0.51,overcast clouds
301,Coquimbo,CL,-29.9533,-71.3436,58.73,82,0,2.3,clear sky
302,Mayahi,NE,13.9553,7.6712,71.62,24,0,9.75,clear sky
303,Pisco,PE,-13.7,-76.2167,64.45,82,100,10.36,overcast clouds
304,Bolgatanga,GH,10.7856,-0.8514,80.35,46,17,4.97,few clouds
305,Lorengau,PG,-2.0226,147.2712,83.77,72,100,6.2,light rain
306,Mutis,CO,6.2262,-77.4044,76.08,89,100,5.75,light rain
307,Saint-Agapit,CA,46.5629,-71.4352,37.2,92,94,9.75,overcast clouds
308,Morros,BR,-9.4467,-46.3003,72.91,90,92,4.25,overcast clouds
309,Port-Gentil,GA,-0.7193,8.7815,78.37,85,91,15.97,moderate rain
310,Taksimo,RU,56.3444,114.8794,7.9,86,100,1.16,overcast clouds
311,Qasigiannguit,GL,68.8193,-51.1922,37.65,73,8,5.79,clear sky
312,Rio Gallegos,AR,-51.6226,-69.2181,57.25,72,0,5.75,clear sky
313,Mago,RU,53.2514,140.1822,16.09,75,8,1.59,clear sky
314,Pacsa,HU,46.7198,17.014,43.99,100,100,3.44,mist
315,Bonthe,SL,7.5264,-12.505,74.34,95,95,11.97,heavy intensity rain
316,Trairi,BR,-3.2778,-39.2689,79.48,81,46,11.95,scattered clouds
317,Cardston,CA,49.2,-113.3019,21.45,81,59,7.7,broken clouds
318,San Ramon,US,37.7799,-121.978,54.7,61,0,9.22,clear sky
319,Kidal,ML,18.4411,1.4078,72.88,17,57,12.33,broken clouds
320,Tiruchchirappalli,IN,10.8167,78.6833,75.31,94,100,3.44,mist
321,Ust-Kulom,RU,61.6864,53.6902,17.55,91,100,11.18,light snow
322,Cayenne,GF,4.9333,-52.3333,77.04,94,75,0.0,broken clouds
323,Mastic Beach,US,40.7668,-72.8521,46.98,58,0,10.36,clear sky
324,Panji,ID,-7.7253,114.0995,88.7,58,100,3.87,overcast clouds
325,Novichikha,RU,52.204,81.3877,32.41,78,100,21.72,overcast clouds
326,Papara,BR,-3.9839,-38.7273,79.68,90,55,3.96,broken clouds
327,Dicabisagan,PH,17.0818,122.4157,81.59,82,76,5.44,broken clouds
328,Spirit River,CA,55.7833,-118.8361,30.63,78,100,9.44,overcast clouds
329,Adre,TD,13.4667,22.2,65.95,28,7,10.16,clear sky
330,Ennepetal,DE,51.2985,7.3629,44.04,74,0,1.01,clear sky
331,Salisbury,GB,51.0693,-1.7957,56.68,96,100,8.05,fog
332,Suhut,TR,38.5311,30.5458,39.83,56,0,3.85,clear sky
333,Merauke,ID,-8.4667,140.3333,86.65,64,93,9.78,overcast clouds
334,Aktas,KZ,49.7789,72.9608,31.75,65,100,27.2,snow
