City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Nouadhibou,MR,2022-11-11 02:24:37,20.931,-17.0347,66.18,94,75,6.91
143,Campbell River,CA,2022-11-11 02:24:37,50.0163,-125.2446,42.33,93,100,4.61
144,Carman,CA,2022-11-11 02:24:37,49.4992,-98.0016,21.54,86,100,17.27
145,Kangaatsiaq,GL,2022-11-11 02:24:38,68.3065,-53.4641,21.16,76,100,20.71
146,Orange Cove,US,2022-11-11 02:21:04,36.6244,-119.3137,53.6,86,0,0.0
147,Ambanja,MG,2022-11-11 02:24:38,-13.6833,48.45,73.85,90,82,1.43
148,Port Lincoln,AU,2022-11-11 02:24:39,-34.7333,135.8667,65.61,56,97,7.43
149,Leningradskiy,RU,2022-11-11 02:24:39,69.3833,178.4167,3.29,93,100,6.4
150,Asau,RO,2022-11-11 02:24:40,46.4333,26.4,45.52,92,100,2.33
151,Yellowknife,CA,2022-11-11 02:24:40,62.456,-114.3525,14.52,85,100,14.97
152,Menongue,AO,2022-11-11 02:24:41,-14.6585,17.691,63.3,79,67,5.19
153,Mackay,AU,2022-11-11 02:20:44,-21.15,149.2,81.68,57,9,11.39
154,Petrolia,CA,2022-11-11 02:24:42,42.8668,-82.1498,59.77,58,0,11.5
155,Ixtapa,MX,2022-11-11 02:24:42,20.7,-105.2,78.03,78,0,5.75
156,Maxixe,MZ,2022-11-11 02:24:43,-23.8597,35.3472,74.82,92,46,6.22
157,Billings,US,2022-11-11 02:21:59,45.7833,-108.5007,15.57,81,20,13.8
158,Abha,SA,2022-11-11 02:24:43,18.2164,42.5053,51.62,82,0,0.0
159,Lamu,KE,2022-11-11 02:24:44,-2.2717,40.902,77.22,86,58,7.45
160,Carnarvon,AU,2022-11-11 02:24:44,-24.8667,113.6333,70.11,64,17,16.53
161,Tekeli,KZ,2022-11-11 02:24:44,44.83,78.8239,27.97,54,42,7.92
162,Coquimbo,CL,2022-11-11 02:23:17,-29.9533,-71.3436,56.93,94,20,5.75
163,Hami,CN,2022-11-11 02:24:45,42.8,93.45,35.91,40,5,10.83
